26,7	52	23	75	613
105,4	81	9	28	1223
88,9	170	24	80	1257
198,8	133	6	24	2197
306,6	168	7	23	1069
39,7	85	27	82	1039
103,2	165	17	65	1383
118,5	140	16	50	944
53,1	90	22	66	974
52,4	100	24	76	954
46,9	73	19	62	679
31,8	85	33	101	1171
43,5	147	40	130	1800
45,8	87	22	70	1430
87,2	120	17	57	908
23,9	63	31	100	830
41,5	129	38	117	1858
38,3	82	26	82	1001
11,9	22	21	65	632
34,3	119	43	132	1580
9,9	40	47	142	1371
12,6	65	37	186	1471
9,3	34	41	129	944
32,6	101	38	120	1185
12,2	40	38	116	1100
18,4	66	41	130	1420
9,1	38	47	145	1421
23,4	84	42	131	1601
163,6	64	15	16	421
47,7	17	11	12	363
42,6	14	10	11	296
140,5	42	10	10	808
48,9	18	11	12	612
90,6	35	13	14	424
29,8	11	11	12	401
26,6	7	7	8	535
15,1	4	8	8	411
25,8	11	14	14	386
32,1	15	15	15	1051
34,6	14	13	13	695
20,2	16	26	27	549
28,8	22	25	26	725
8,2	3	12	12	87
6,3	3	14	15	570
13,3	7	16	17	471
11,9	8	21	22	586
19,5	14	24	25	330
25,1	13	17	17	594
13,4	7	16	17	380
80,7	20	7	8	449
8,2	6	23	24	409
2,8	8	17	96	537
16,5	9	17	18	379
222,20	245	10	44	2186
49,70	81	17	62	1022
48,40	113	26	83	2852
39,10	83	23	76	1910
34,40	98	32	100	3054
27,40	76	31	99	1857
26,20	97	43	137	1641
22,50	49	23	76	1673
19,60	71	40	128	2075
13,90	44	34	110	1587
134,80	136	11	40	1242
95,90	116	15	45	1649
40,20	93	29	87	1311
34,60	89	31	93	1837
30,50	48	16	54	2029
28,30	57	22	72	1301
26,00	56	24	77	1288
21,10	63	33	106	1649
17,20	47	31	96	1483
13,20	36	30	94	1498
187,90	176	11	41	1019
96,8	108	13	41	1667
64,10	91	15	52	1515
59,2	80	16	51	1038
46,8	81	22	71	655
42,40	56	17	55	414
36,40	87	28	90	1226
27,40	59	24	76	1602
23,3	25	11	36	1463
18,50	52	40	120	256
17,80	34	21	68	785
15,60	46	33	108	838
14,10	43	25	110	919
5,20	9	16	58	729
